category,name,address,lat,lng,url
culture,서울시립 남서울미술관,서울 관악구 남부순환로 2076 (남현동),37.47605354,126.9794659,
culture,예술의전당 한가람디자인미술관,서울 서초구 남부순환로 2406 본관 1층 (서초동),37.4802402,127.0142152,
culture,동대문디자인플라자,서울 중구 을지로 281 (을지로7가),37.56804459,127.0108904,
culture,서울특별시교육청 정독도서관,서울 종로구 북촌로5길 48 (화동),37.58126545,126.9838701,
culture,마곡광장,서울 강서구 마곡중앙5로 지하 9 (마곡동),37.56601145,126.8269275,
culture,서울식물원,서울 강서구 마곡동로 161 (마곡동),37.57224441,126.8328428,
culture,콜트클럽,서울 강서구 마곡중앙8로 86 (마곡동),37.56062368,126.8369241,
culture,원그로브,서울 강서구 공항대로 165 (마곡동),37.5608751,126.824696,
culture,마곡문화관,서울 강서구 양천로 282 (마곡동),37.57151115,126.8350021,
culture,스페이스K 서울,서울 강서구 마곡중앙8로 32 (마곡동),37.56109293,126.8309747,
culture,LG아트센터 서울,서울 강서구 마곡중앙로 136 (마곡동),37.56536299,126.8293888,
culture,아마도예술공간,서울 용산구 이태원로54길 8 (한남동),37.5378529,127.0018308,
culture,더줌아트센터,서울 용산구 독서당로 111 (한남동),37.53612286,127.0073076,
culture,아트247,서울 용산구 회나무로21길 54 (이태원동),37.54051743,126.9932627,
culture,블루스퀘어 신한카드홀,서울 용산구 이태원로 294 (한남동),37.54086944,127.0024853,
culture,리움미술관,서울 용산구 이태원로55길 60-16 (한남동),37.53846127,126.9992941,
culture,언더스테이지,서울 용산구 이태원로 246 (한남동),37.53663557,127.0007021,
culture,우엉미 이태원플래그십,서울 용산구 이태원로27길 34-1 (이태원동),37.53568569,126.9942471,
culture,에얼스 한남플래그십,서울 용산구 이태원로45길 14 1층 (한남동),37.53641591,126.9989743,
culture,PBG 한남,서울 용산구 독서당로 87 1층 (한남동),37.53471646,127.0101041,
culture,국립중앙박물관,서울 용산구 서빙고로 137 (용산동6가),37.52470224,126.9777402,
culture,화이트스톤갤러리,서울 용산구 소월로 70 (후암동),37.55419035,126.9782178,
culture,라니앤컴퍼니,서울 용산구 유엔빌리지길 224 1층 (한남동),37.53648,127.0127985,
culture,오온,서울 마포구 성미산로11길 25 지하1층 (성산동),37.56173692,126.9161692,
culture,그라운드시소 서촌,서울 종로구 자하문로6길 18-8 (통의동),37.57784039,126.9729161,
culture,그라운드시소 센트럴,서울 중구 세종대로 14 3층 (남대문로5가),37.55783853,126.9744151,
culture,그라운드시소 이스트,서울 광진구 아차산로 402 2층 (자양동),37.53661047,127.0878525,
culture,디뮤지엄,서울 성동구 왕십리로 83-21 1-4층 (성수동1가),37.54415475,127.0433578,
culture,서울시립 북서울미술관,서울 노원구 동일로 1238 (중계동),37.64066045,127.0668656,
culture,KCS,서울 용산구 한강대로49길 12 (한강로2가),37.53288324,126.9703357,
culture,굿온니플레이스,서울 종로구 새문안로3길 12 1층 (신문로1가),37.57131882,126.9729446,
culture,알레그리아 광화문케이스퀘어시티점,서울 중구 청계천로 24 1층 103호,37.56851591,126.9802097,
culture,벌새,서울 종로구 새문안로3길 12 신문로빌딩 지하1층 (신문로1가),37.57131882,126.9729446,
culture,수베니어 삼청,서울 종로구 팔판길 22-1 1층 (팔판동),37.58279432,126.9812041,
culture,코튼 서울,서울 종로구 인사동12길 17 (관훈동),37.57474204,126.9849232,
culture,휴먼메이드 압구정점,서울 강남구 선릉로157길 20-8 (신사동),37.52662349,127.0385331,
culture,그랜드하얏트서울 아이스링크,서울 용산구 소월로 322 (한남동),37.53976298,126.9962408,
culture,스와로브스키코리아 플래그십 서울도산파크,서울 강남구 언주로164길 30 (신사동),37.52543399,127.035961,
culture,을지로베로나,서울 중구 충무로5길 24 은광빌딩 3층 (을지로3가),37.56547478,126.9914835,
culture,어나더사이드,서울 강서구 강서로 318 1층 (내발산동),37.55402797,126.8371495,
culture,오베뉴 한남,서울 용산구 한남대로20길 47-18 (한남동),37.53520993,127.0102012,
culture,프론트서울,서울 강남구 도산대로11길 29 1층 (신사동),37.51932434,127.0222252,
culture,조선팰리스 강남,서울 강남구 테헤란로 231 센터필드타워 West동 (역삼동),37.50288135,127.0413565,
culture,그랜드 머큐어 임피리얼 팰리스 서울 강남,서울 강남구 언주로 640 (논현동),37.51408137,127.0358843,
culture,빠니드엠무니,서울 강남구 압구정로56길 16 (신사동),37.52679924,127.0397279,
restaurant,이씨부엌,서울 강북구 노해로8가길 32 (수유동),37.63941269,127.0236269,https://place.map.kakao.com/1505581196
restaurant,피제리아 디 파올로,서울 중랑구 양원역로14가길 27 1층 (망우동),37.60761102,127.1071532,https://place.map.kakao.com/2045223539
restaurant,운치,서울 성북구 고려대로7길 48 1층 (안암동1가),37.58806715,127.0201593,https://place.map.kakao.com/1952209792
restaurant,벤베누토,서울 성북구 동소문로20나길 39 동선동복합빌 2층 (동선동1가),37.59271879,127.0185529,https://place.map.kakao.com/230989806
restaurant,이자카야이야시 성신여대점,서울 성북구 동소문로20길 37-19 지하1층 (동선동1가),37.59124371,127.0177766,https://place.map.kakao.com/1783037217
restaurant,멘야리,서울 성북구 동소문로20다길 30-11 1층 (동선동1가),37.59169471,127.0186069,https://place.map.kakao.com/511649173
restaurant,후타츠,서울 도봉구 도봉로110길 9 (창동),37.64638652,127.0341492,https://place.map.kakao.com/556071148
restaurant,라라면가,서울 성북구 동소문로22길 57-25 1층 (동선동2가),37.59094618,127.0196677,https://place.map.kakao.com/697084504
restaurant,사이코우스시,서울 노원구 덕릉로73길 18 1층 (중계동),37.65217966,127.0724355,https://place.map.kakao.com/24811983
restaurant,나보나,서울 노원구 동일로184길 52 1층 나보나 (공릉동),37.62441703,127.0765086,https://place.map.kakao.com/1999858035
restaurant,휴돈정,서울 노원구 동일로191가길 6 건양오피스텔 1층 104호 (하계동),37.62532522,127.0716457,https://place.map.kakao.com/1682786058
restaurant,디에트로,서울 노원구 동일로182길 36 1층 102~103호 (공릉동),37.62312137,127.0761504,https://place.map.kakao.com/1114860504
restaurant,오스테리아 타피,서울 성북구 보문로 184-10 1층 (삼선동4가),37.59073184,127.0153722,https://place.map.kakao.com/1252540896
restaurant,비스트로알베르,서울 강북구 도봉로76길 9 1층 (미아동),37.63296385,127.0242151,https://place.map.kakao.com/1618833875
restaurant,레스팅,서울 중랑구 면목로 489 상봉어반뷰 3층 301호 (상봉동),37.59550573,127.085324,https://place.map.kakao.com/857668617
restaurant,유영,서울 성북구 고려대로5길 89 1층 (삼선동5가),37.58904933,127.0178727,https://place.map.kakao.com/1575350660
restaurant,포레스트 우드,서울 도봉구 도봉로 684 모비우스스퀘어 2층 204호 (도봉동),37.66535584,127.0436071,https://place.map.kakao.com/1856868867
restaurant,비스트로리베르따,서울 노원구 석계로7길 11 1층 (월계동),37.61639683,127.0638881,https://place.map.kakao.com/374673306
restaurant,우정초밥,서울 성북구 종암로3길 31 1층 (종암동),37.59299709,127.034298,https://place.map.kakao.com/743447746
restaurant,스시모토,서울 도봉구 노해로60길 79 1층 (쌍문동),37.64789366,127.0333053,https://place.map.kakao.com/2072736993
restaurant,도요스스시다온,서울 성북구 한천로80길 51 1층 (석관동),37.61300984,127.0643723,https://place.map.kakao.com/1660204183
restaurant,숙수도가,서울 성북구 동소문로17길 28 1층 (동소문동6가),37.59354194,127.0154116,https://place.map.kakao.com/1518107433
restaurant,졸리&몰트,서울 노원구 노해로83길 20 로카915 5층 (상계동),37.65614256,127.0643218,https://place.map.kakao.com/968601203
restaurant,아카리,서울 도봉구 도봉로118길 18-2 (창동),37.6487858,127.0361054,https://place.map.kakao.com/1608455458
restaurant,뱀요리주점,서울 성북구 동소문로20나길 34 2층 (동선동1가),37.59244004,127.0184682,https://place.map.kakao.com/1938085140
restaurant,위켄드바베큐 노원직영점,서울 노원구 공릉로 167 노원빌딩 1층 (공릉동),37.6249149,127.0795389,https://place.map.kakao.com/2076118968
restaurant,무르무르드구스토,서울 성북구 고려대로 102-2 4층 (안암동5가),37.58610917,127.0307666,https://place.map.kakao.com/26869744
restaurant,르부아,서울 성북구 고려대로7길 56-18 1층 102호 (안암동1가),37.5887723,127.0205241,https://place.map.kakao.com/1085498220
restaurant,에튀베,서울 노원구 동일로184길 41 동양빌딩 1층 (공릉동),37.6244698,127.076002,https://place.map.kakao.com/1471880316
